Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\optical_peripherial_slimmer\Project Outputs for optical_peripherial_slimmer\Pick Place for slimmer_pcb2.csv

========================================================================================================================
File Design Information:

Date:       19-08-26
Time:       09:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C19","Capacitor 1µF +/-20% 10V 0402","TopLayer","CAPC0402(1005)60_L","61.8450","83.1400","270","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm"
"U1","MCP4725A1T-E/CH","BottomLayer","SOT-23-CH6_N","47.4980","95.1230","270","12-Bit Digital-to-Analog Converter with EEPROM Memory in SOT-23-6, 6-Pin SOT-23, Extended Temperature, Tape and Reel"
"U7","ATtiny44A-MU","TopLayer","20M1_N","69.7230","100.9650","0","8-bit AVR Microcontroller,  20MHz, 1.8-5.5V, 4KB Flash, 256 Bytes EEPROM, 256 Bytes SRAM, 20-pin MLF, Industrial Grade (-40°C to 85°C), Pb-Free"
"U2","AD9233BCPZ-125","TopLayer","CP-48-3_M","82.8040","87.6300","180","Single 12-Bit Analog-to-Digital Converter with Parallel Interface, 1.8 V 125MSPS, -40 to +85 degC, CP-48-3, Pb-Free, Tray"
"U10","TPS74601PDRVR","BottomLayer","FP-DRV0006A-IPC_A","93.2100","101.4730","90","IC REG LINEAR POS ADJ 1A 6WSON"
"R65","100K 1% 0603(1608)","TopLayer","RESC0603(1608)_N","81.4070","59.1820","180","100K 0.1W 1% 0603 (1608 Metric)  SMD"
"U9","LT8331EMSE#PBF","TopLayer","FP-MSE-16-05-08-1871-MFG","89.1820","55.8065","270","IC REG MULTI CONFG ADJ 16MSOP"
"U11","LM27762DSST","TopLayer","FP-DSS0012B-MFG","77.5970","62.4840","0","IC REG CHARGE PUMP ADJ DL 12WSON"
"R60","TNPW040210K0DEED","BottomLayer","RESC1005X40X20NL05T10","92.7100","104.0130","0","10kohms"
"R59","TNPW040210K0DEED","BottomLayer","RESC1005X40X20NL05T10","92.7100","98.8060","0","10kohms"
"R56","TFCR0603-16W-E-2262DT-1K","BottomLayer","FP-TFCR0603-MFG","93.9800","97.1550","0","RES Thin Film,  22.6kO, 0.5%, 0.1W, 25ppm/°C, 0603"
"R47","CRCW0805590KFKEAHP","TopLayer","FP-CRCW0805-HPe3-IPC_A","82.1690","50.8000","0","RES Thick Film, 590kO, 1%, 0.5W, 100ppm/°C, 0805"
"R49","Resistor 10k +/-1% 0603 100 mW","BottomLayer","RESC1608X55X25ML10T15","37.3380","96.3930","90","Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
"R43","Resistor 100k +/-1% 0805 125 mW","BottomLayer","RESC2013X70X40ML20T20","33.9090","96.6470","270","Chip Resistor, 100 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric)"
