Name,Description,Designator,Footprint,LibRef,Quantity

"08051C104KAZ2A","100nF 0805","C1, C3, C23, C28, C32, C48","CAPC2013X94X50LL20T25","CMP-2007-04175-1","6"
"Capacitor 1µF +/-0.1% 25V 0603","Chip Capacitor, 1µF +/-0.1%, 25V, 0603, Thickness 1 mm","C2, C24, C27, C29, C31, C34, C40, C41, C43, C45, C46","CAPC0603(1608)100_L","CMP-001-00055-4","11"
"Capacitor 100 nF +/-10% 50 V 0603","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)","C4","CAPC1608X90X40NL10T20","CMP-001-00017-6","1"
"0402B104K500CT","CAP CER 0.1UF 50V X7R 0402","C5, C6, C26","FP-0402B104K500CT-IPC_C","CMP-45632-000010-1","3"
"C0603C470K1GACTU","CAP CER 47PF 100V 10% NP0 0603","C7","FP-C0603C-CF-MFG","CMP-2006-03416-2","1"
"Capacitor 100nF +/-20% 50V 0402","Chip Capacitor, 100nF +/-20%, 50V, 0402, Thickness 0.6 mm","C8, C11, C16","CAPC0402(1005)60_L","CMP-001-00067-3","3"
"Capacitor 100nF +/-20% 10V 0402","Chip Capacitor, 100nF +/-20%, 10V, 0402, Thickness 0.6 mm","C9, C10, C12, C14, C20, C21, C22, C25","CAPC0402(1005)60_L","CMP-001-00061-3","8"
"Capacitor 1uF +/- 10% 16V 0603","Chip Capacitor, 1 uF, +/- 10%, 16 V, 0603 (1608 Metric)","C13","CAPC1608X90X35ML15T15","CMP-001-00004-6","1"
"Capacitor 1µF +/-20% 10V 0402","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm","C15, C18, C19","CAPC0402(1005)60_L","CMP-001-00063-3","3"
"CAP 1pF 16V 0402(1005)","CAP 1pF 16V ±0.5pF 0402 (1005 Metric) Thickness 0.6mm SMD","C17","CAPC0402(1005)60_M","CMP-1034-00052-1","1"
"VJ0603Y103KFAAO","0.01uF 0603","C30","CAPC1608X92X38NL15T08","CMP-2006-01304-1","1"
"VJ0805Y103KXBAC","10nF 0805, [NoValue]","C33, C36, C38","CAPC2013X145X48LL20T23","CMP-2007-01695-1","3"
"CAP 4.7uF 16V 1210(3225)","CAP 4.7uF 16V ±10% 1210 (3225 Metric) Thickness 2.3mm SMD","C35, C37, C44","CAPC1210(3225)230_M","CMP-1038-02144-2","3"
"Capacitor 2,2µF +/-20% 10V 0402","Chip Capacitor, 2,2µF +/-20%, 10V, 0402, Thickness 0.6 mm","C39","CAPC0402(1005)60_L","CMP-001-00056-4","1"
"08051C105K4T2A","08051C105K4T2A Cap Ceramic 1uF 100V X7R 10% Pad SMD 0805 125C Automotive T/R","C42","FP-0805-L_2_01_0_2-W_1_25-MFG","CMP-07738-122049624-1","1"
"C0603C103J1RACTU","CAP CER 10000PF 100V X7R 0603","C47","FP-C0603C-CF-MFG","CMP-2006-03028-2","1"
"AP121C105KQZ2A","High Reliability Ceramic Capacitor, 1812, 1uF, 10%, X7R, 15%, 100V","C49, C50","FP-1812-L_4_5_0_3-W_3_2_0-IPC_C","CMP-04427-001651-1","2"
"CC0603KRX5R9BB225","CAP CER 2.2UF 50V X5R 0603","C51, C52","FP-CC0603-DC-MFG","CMP-03422-000578-2","2"
"C30645EH","Sensor Photodiode 1550NM TO18-2","D1","C30662EH-Footprint-1","CMP-004-00032-1","1"
"V2PM12-M3/H","DIODE SCHOTTKY 120V 2A MICROSMP","D2","FP-V2PM12-M3-H-MFG","CMP-02539-000036-1","1"
"QTE-020-01-F-D-A","syzygy connector","J1","QTE-020-01-X-D-A-L","000973","1"
"SRR1280A-221K","Inductor Power Shielded Wirewound 220uH 10% 1KHz 24Q-Factor Ferrite 1.6A 0.4Ohm DCR Automotive T/R","L1","INDP125125X500N","CMP-006-00022-1","1"
"TSW-103-08-G-D","0.025"" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 6-Pin, Male, RoHS","P1","SMTC-TSW-103-08-X-D","CMP-1024-00338-1","1"
"Resistor 10k +/-1% 0402 63 mW","Chip Resistor, 10 KOhm, +/- 1%, 63 mW, -55 to 155 degC, 0402 (1005 Metric)","R1","RESC1005X40X25ML05T05","CMP-009-00019-5","1"
"Resistor 33R  +/-5 % 0402 63 mW","Chip Resistor, 33 Ohms, +/-5 %, 63 mW, -55 to 155 degC, 0402","R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R15, R36","RESC0402(1005)_L","CMP-009-00143-3","14"
"Resistor 4k7 +/-1% 0603 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R14, R16","RESC1608X55X25ML10T15","CMP-009-00031-5","2"
"Resistor 1k +/-1% 0603 100 mW","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R17, R30","RESC1608X55X25ML10T15","CMP-009-00014-5","2"
"Resistor 100R +/-1 % 0402 63 mW","Chip Resistor, 100 Ohms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R19","RESC0402(1005)_L","CMP-009-00167-3","1"
"RT0603BRD07301RL","RES SMD 301 OHM 0.1% 1/10W 0603","R20, R22, R25, R27","FP-RT0603-MFG","CMP-03412-025440-1","4"
"Resistor 10k +/-1% 0603 100 mW","Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)","R21, R29, R31, R33, R49","RESC1608X55X25ML10T15","CMP-009-00017-5","5"
"CRGCQ0603F33R","SMD AEC-Q200 Compliant Thick Film Chip Resistor","R23, R26","FP-CRGCQ0603-IPC_C","CMP-03211-002144-1","2"
"Resistor 22R  +/-5 % 0402 63 mW","22R 0.063W 5% 0402 (1005 Metric)  SMD, Chip Resistor, 22 Ohms, +/-5 %, 63 mW, -55 to 155 degC, 0402","R28, R38","RESC0402(1005)_L","CMP-009-00082-2, CMP-009-00164-3","2"
"TFCR0603-16W-C-2001BT","RES Thin Film,  2kO, 0.1%, 0.1W, 50ppm/°C, 0603","R32","FP-TFCR0603-IPC_C","CMP-250906-258923-1","1"
"Resistor 100K +/-1 % 0402 63 mW","Chip Resistor, 100 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R34, R35, R39, R40","RESC0402(1005)_L","CMP-009-00168-3","4"
"Resistor 10K  +/-1 % 0402 63 mW","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402","R37, R53","RESC0402(1005)_L","CMP-009-00149-3","2"
"Resistor 100k +/-1% 0805 125 mW","Chip Resistor, 100 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric)","R41, R42, R43","RESC2013X70X40ML20T20","CMP-009-00024-5","3"
"RK73H2ATTD1544F","1.54Mohms","R44","RESC2013X60X30ML20T20","CMP-2001-02100-1","1"
"TFCR0805-10W-E-4992BT","RES Thin Film,  49.9kO, 0.1%, 0.1W, 25ppm/°C, 0805","R45, R50","FP-TFCR0805-IPC_A","CMP-250906-284504-1","2"
"CRCW0805590KFKEAHP","RES Thick Film, 590kO, 1%, 0.5W, 100ppm/°C, 0805","R46, R47","FP-CRCW0805-HPe3-IPC_A","CMP-02407-010103-1","2"
"CRMA1206AF500KFKEF","CRMA1206AF500KFKEF Res Thick Film 1206 500K Ohm 1% 0.3W ±100ppm/C Pad SMD Automotive T/R","R48","FP-CRMA1206-IPC_A","CMP-00030-87449095-1","1"
"Resistor 100k +/-1% 0603 100 mW","Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R51","RESC1608X55X25ML10T15","CMP-009-00023-5","1"
"RG1608P-102-B-T5","Automotive Metal Thin Film Chip Resistor, 0603, 1kO, 0.1%, 25ppm/°C, 0.1W, 100V","R52","FP-RG1608-MFG","CMP-2000-01965-2","1"
"TFCR1210-4W-E-2402CT","RES Thin Film, 24kO, -55°C, 0.25W, 25ppm/°C, 1210","R54","FP-TFCR1210-IPC_B","CMP-250906-180235-1","1"
"RK73H2ARTTD3162F","31.6kO ±1% 0.25W Chip Resistor 0805 Flat Chip (Anti-Sulfuration) AEC-Q200 Qualified","R55","FP-RK73H2A-IPC_C","CMP-04015-099796-1","1"
"TFCR0603-16W-E-2262DT-1K","RES Thin Film,  22.6kO, 0.5%, 0.1W, 25ppm/°C, 0603","R56","FP-TFCR0603-MFG","CMP-250906-205256-1","1"
"AC0603FR-07154KL","RES 154KO 1.00% 0.1W 0603","R57","FP-AC0603-IPC_B","CMP-03412-032999-2","1"
"3296W-1-253LF","TRIMMER 25K OHM 0.5W PC PIN TOP","R58","FP-3296W-MFG","CMP-07234-000034-1","1"
"TNPW040210K0DEED","10kohms","R59, R60","RESC1005X40X20NL05T10","CMP-2002-01682-1","2"
"Resistor 1K +/-5 % 0402 63 mW","Chip Resistor, 1 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402","R61","RESC0402(1005)_L","CMP-009-00157-3","1"
"MCT06030D2003BP500","RES SMD 200kohm 1% 1/8W 0603","R62","FP-MCT0603-IPC_B","CMP-02407-004021-1","1"
"CPF0603B196KE1","RES SMD 196KO 0.1% 1/16W 0603","R63","FP-CPF0603-MFG","CMP-03211-003272-1","1"
"100KR2F","100K 0.063W 1% 0402 (1005 Metric)  SMD","R64","RESC0402(1005)_L","CMP-009-00064-2","1"
"100K 1% 0603(1608)","100K 0.1W 1% 0603 (1608 Metric)  SMD","R65","RESC0603(1608)_N","CMP-1012-00736-1","1"
"MCP4725A1T-E/CH","12-Bit Digital-to-Analog Converter with EEPROM Memory in SOT-23-6, 6-Pin SOT-23, Extended Temperature, Tape and Reel","U1","SOT-23-CH6_N","CMP-0188-00759-2","1"
"AD9233BCPZ-125","Single 12-Bit Analog-to-Digital Converter with Parallel Interface, 1.8 V 125MSPS, -40 to +85 degC, CP-48-3, Pb-Free, Tray","U2","CP-48-3_M","CMP-0313-00328-2","1"
"ADA4927-1YCPZ-R7","Ultralow Distortion Current Feedback Differential ADC Driver, 4.5 to 11 V, -40 to 105 degC, 16-Pin LFCSP_VQ (CP-16-2), RoHS, Reel","U3","ADI-CP-16-2_M","CMP-1516-00001-1","1"
"TLV3501AID","IC COMPARATOR 4.5NS R-R HS 8SOIC","U4","FP-D0008A-IPC_C","CMP-04896-000133-1","1"
"SN74LVC1G125DBVR","Single Bus Buffer Gate With 3-State Outputs, DBV0005A, LARGE T&R","U5","DBV0005A_M","CMP-0859-00019-3","1"
"OPA657UB","1.6 GHz, Low Noise, Fet-Input Operational Amplifier, 8 to 12 V, -40 to 85 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)","U6","D0008A_L","CMP-0018-00252-2","1"
"ATtiny44A-MU","8-bit AVR Microcontroller,  20MHz, 1.8-5.5V, 4KB Flash, 256 Bytes EEPROM, 256 Bytes SRAM, 20-pin MLF, Industrial Grade (-40°C to 85°C), Pb-Free","U7","20M1_N","CMP-0093-00099-2","1"
"LM27761DSGR","IC REG SWITCHD CAP NEG ADJ 8WSON","U8","FP-DSG0008A-MFG","CMP-04918-000003-1","1"
"LT8331EMSE#PBF","IC REG MULTI CONFG ADJ 16MSOP","U9","FP-MSE-16-05-08-1871-MFG","CMP-09139-000261-1","1"
"TPS74601PDRVR","IC REG LINEAR POS ADJ 1A 6WSON","U10","FP-DRV0006A-IPC_A","CMP-04917-000340-1","1"
"LM27762DSST","IC REG CHARGE PUMP ADJ DL 12WSON","U11","FP-DSS0012B-MFG","CMP-04918-000514-1","1"
"LR8N3-G","LR8N3-G Standard Regulator Pos 1.2V to 440V 0.03A 3-Pin TO-92 Bag","U12","FP-N3-MFG","CMP-00252-47153543-1","1"
